count,location
3674,"Seaside, California"
3666,"Oakley, California"
3639,"Hermosa Beach, California"
3636,"Arroyo Grande, California"
3616,"Aptos, California"
3598,"Oroville, California"
3593,"Orangevale, California"
3574,"Trabuco Canyon, California"
3573,"Sonora, California"
3572,"Panorama City, California"
3551,"Atascadero, California"
3514,"South Pasadena, California"
3494,"La Crescenta, California"
3481,"Santa Fe Springs, California"
3479,"Lafayette, California"
3428,"Seal Beach, California"
3400,"Wildomar, California"
3372,"Temple City, California"
3351,"Shingle Springs, California"
3319,"Paramount, California"
3306,"Tehachapi, California"
3298,"Lemoore, California"
3294,"Sun Valley, California"
3289,"Palos Verdes Peninsula, California"
3267,"San Jacinto, California"
3232,"Newhall, California"
3209,"Los Alamitos, California"
3207,"Desert Hot Springs, California"
3203,"Ukiah, California"
3200,"Twentynine Palms, California"
3196,"West Hills, California"
3183,"Granite Bay, California"
3137,"Oakdale, California"
3104,"Belmont, California"
3103,"Norco, California"
3097,"Coronado, California"
3077,"Marina, California"
3057,"Ojai, California"
3048,"Windsor, California"
3009,"Nevada City, California"
2964,"Lynwood, California"
2957,"Rancho Mirage, California"
2952,"Montclair, California"
2935,"Paradise, California"
2907,"Huntington Park, California"
2863,"Pacific Palisades, California"
2820,"Hercules, California"
2811,"Suisun City, California"
2803,"Atwater, California"
2798,"Duarte, California"
2780,"Lawndale, California"
2743,"Pacific Grove, California"
2743,"Mira Loma, California"
2717,"Imperial Beach, California"
2710,"Ceres, California"
2684,"El Sobrante, California"
2684,"El Cerrito, California"
2659,"North Highlands, California"
2659,"Carmel, California"
2633,"Marysville, California"
2627,"Winchester, California"
2613,"Barstow, California"
2593,"La Canada Flintridge, California"
2579,"Lemon Grove, California"
2577,"Red Bluff, California"
2557,"Healdsburg, California"
2545,"San Lorenzo, California"
2467,"Wilmington, California"
2448,"Del Mar, California"
2432,"Yucca Valley, California"
2427,"Ladera Ranch, California"
2399,"Calexico, California"
2394,"Galt, California"
2380,"San Ysidro, California"
2328,"Castaic, California"
2324,"Millbrae, California"
2316,"Villa Park, California"
2311,"Port Hueneme, California"
2310,"Albany, California"
2297,"Tujunga, California"
2288,"Los Banos, California"
2271,"Scotts Valley, California"
2268,"Banning, California"
2222,"South El Monte, California"
2209,"Lomita, California"
2201,"Stevenson Ranch, California"
2174,"San Fernando, California"
2168,"Solana Beach, California"
2160,"Carpinteria, California"
2151,"Harbor City, California"
2134,"Ripon, California"
2096,"Pinole, California"
2067,"Camp Pendleton, California"
2046,"American Canyon, California"
2045,"California, Maryland"
2042,"Orinda, California"
2028,"Bonita, California"
2021,"Sunland, California"
2016,"Moraga, California"
2010,"Stanton, California"
1993,"Rancho Santa Fe, California"
1958,"Valley Center, California"
1938,"Santa Paula, California"
1931,"Lathrop, California"
1929,"Alpine, California"
1929,"Playa Del Rey, California"
1915,"Dixon, California"
1905,"Patterson, California"
1900,"Sausalito, California"
1895,"Sanger, California"
1893,"Mission Hills, California"
1882,"Nipomo, California"
1843,"Rosamond, California"
1840,"Crescent City, California"
1814,"Los Osos, California"
1785,"La Palma, California"
1777,"Anderson, California"
1777,"Mckinleyville, California"
1770,"Corona Del Mar, California"
1759,"Adelanto, California"
1751,"Signal Hill, California"
1735,"Half Moon Bay, California"
1731,"San Anselmo, California"
1727,"Foothill Ranch, California"
1721,"Loomis, California"
1709,"Olivehurst, California"
1708,"Alamo, California"
1682,"Saint Helena, California"
1675,"Oak Park, California"
1670,"Reedley, California"
1658,"Capitola, California"
1657,"Artesia, California"
1648,"Cardiff By The Sea, California"
1610,"Riverbank, California"
1602,"San Marino, California"
1587,"Delano, California"
1552,"Bishop, California"
1544,"Bloomington, California"
1535,"Coachella, California"
1516,"Mammoth Lakes, California"
1490,"Brawley, California"
1485,"Newport Coast, California"
1475,"Salida, California"
1473,"Selma, California"
1432,"Soquel, California"
1426,"Imperial, California"
1426,"Grover Beach, California"
1416,"Pismo Beach, California"
1402,"Fort Irwin, California"
1392,"Laguna Woods, California"
1386,"Belvedere Tiburon, California"
1378,"Susanville, California"
1365,"Morro Bay, California"
1361,"Kingsburg, California"
1335,"Clayton, California"
1335,"Sierra Madre, California"
1323,"Grand Terrace, California"
1318,"Valley Springs, California"
1294,"Greenbrae, California"
1249,"Fort Bragg, California"
1246,"Penn Valley, California"
1244,"Phelan, California"
1233,"Lakeport, California"
1223,"California City, California"
1203,"Dinuba, California"
1175,"Rio Linda, California"
1168,"Mariposa, California"
1168,"Corte Madera, California"
1164,"Crestline, California"
1159,"Atherton, California"
1155,"Fortuna, California"
1153,"Carmel Valley, California"
1146,"Cottonwood, California"
1145,"Coarsegold, California"
1136,"Carmel By The Sea, California"
1121,"Willits, California"
1120,"Templeton, California"
1110,"Boulder Creek, California"
1107,"Mount Shasta, California"
1104,"Yreka, California"
1096,"Exeter, California"
1094,"Big Bear Lake, California"
1081,"Cotati, California"
1080,"Edwards, California"
1076,"Tahoe City, California"
1074,"Taft, California"
1074,"Escalon, California"
1064,"Fillmore, California"
1052,"Lake Arrowhead, California"
1043,"Chowchilla, California"
1038,"Indian Wells, California"
1030,"Joshua Tree, California"
1026,"Montrose, California"
1025,"Oakhurst, California"
